Time,APP,Intention,Event
2024-10-25 06:52:34.002,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 06:57:07.677,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 07:09:54.163,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-25 07:10:43.250,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-25 07:24:59.261,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 07:44:27.898,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 08:00:07.383,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 08:13:58.934,支付,Use Alipay to scan the QR code and pay for the lunch fee.,Payment
2024-10-25 09:46:07.196,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 10:02:56.727,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 10:37:26.796,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 11:14:31.553,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 11:56:42.318,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-25 17:25:39.164,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 17:40:37.190,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 18:03:18.501,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-25 18:07:37.461,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 18:08:03.543,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-25 18:13:52.871,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-25 18:18:35.245,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 18:25:20.816,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-25 18:33:54.897,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 18:43:50.716,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 19:36:34.279,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 21:43:52.041,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-25 21:51:26.900,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-25 22:20:41.641,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-25 22:22:28.656,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 22:23:16.333,京东,Search on 京东 and purchase the iPhone 15 Pro Max手机.,E-commerce platform
2024-10-25 22:49:22.042,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-25 22:49:59.110,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 22:53:20.012,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 23:08:40.726,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 23:50:21.959,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
